instituicao,entregavel,periodo,periodicidade,status_relatorio,data_status,org_entregavel
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,1,M,,2024-12-06T13:13:43Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,2,M,,2024-12-06T13:16:27Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,3,M,,2024-12-06T13:18:23Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,4,M,,2024-12-06T13:20:37Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,5,M,,2024-12-06T17:09:56Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,6,M,,2024-12-06T17:11:37Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,7,M,,2024-12-06T17:13:27Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,8,M,,2024-12-06T17:14:53Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,9,M,,2024-12-06T17:16:50Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,10,M,,2024-12-06T17:18:12Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,11,M,,2024-12-26T10:45:01Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,MSC Agregada,12,M,,2025-01-31T11:13:41Z,Câmara de Vereadores do Rio de Janeiro - RJ - MSC Agregada
Câmara de Vereadores do Rio de Janeiro - RJ,Relatório de Gestão Fiscal,1,Q,homologado,2024-05-30T22:39:45Z,Câmara de Vereadores do Rio de Janeiro - RJ - Relatório de Gestão Fiscal
Câmara de Vereadores do Rio de Janeiro - RJ,Relatório de Gestão Fiscal,2,Q,homologado,2024-09-30T22:37:48Z,Câmara de Vereadores do Rio de Janeiro - RJ - Relatório de Gestão Fiscal
Câmara de Vereadores do Rio de Janeiro - RJ,Relatório de Gestão Fiscal,3,Q,homologado,2025-01-30T22:30:36Z,Câmara de Vereadores do Rio de Janeiro - RJ - Relatório de Gestão Fiscal
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,1,M,,2024-12-06T13:13:40Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,2,M,,2024-12-06T13:16:24Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,3,M,,2024-12-06T13:18:19Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,4,M,,2024-12-06T13:20:33Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,5,M,,2024-12-06T17:09:52Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,6,M,,2024-12-06T17:11:34Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,7,M,,2024-12-06T17:13:23Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,8,M,,2024-12-06T17:14:49Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,9,M,,2024-12-06T17:16:46Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,10,M,,2024-12-06T17:18:08Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,11,M,,2024-12-26T10:44:58Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,MSC Agregada,12,M,,2025-01-31T11:13:38Z,Prefeitura Municipal do Rio de Janeiro - RJ - MSC Agregada
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório de Gestão Fiscal,1,Q,retificado,2024-12-11T22:30:22Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório de Gestão Fiscal
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório de Gestão Fiscal,2,Q,retificado,2024-12-12T22:30:55Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório de Gestão Fiscal
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório de Gestão Fiscal,3,Q,retificado,2025-01-31T22:31:00Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório de Gestão Fiscal
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,1,B,retificado,2024-12-06T22:30:17Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,2,B,retificado,2024-12-11T22:30:19Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,3,B,retificado,2024-12-11T22:30:38Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,4,B,retificado,2024-12-11T22:31:06Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,5,B,retificado,2024-12-03T22:32:45Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,6,B,retificado,2025-01-31T22:30:56Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,1,M,,2024-12-06T13:13:43Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
